,title,company,salary,location,hiringStatus,postedDate
102,SENIOR SOFTWARE ENGINEER,Pressco Technology,$80K - $120K,"Solon, OH",Actively Hiring,2023-01-09
103,Sr. Software Engineer,"Candid Color Systems, Inc.",$102K - $140K,"Oklahoma City, OK",Actively Hiring,2023-01-31
104,Sr. Genesys Engage Engineer,"Placed, LLC",$65K - $89K,"Denver, CO",Actively Hiring,2023-01-09
105,Software Engineer,CHG Healthcare,$70K - $90K,"Salt Lake City, UT",Actively Hiring,2023-01-23
106,Embedded Engineer -Embedded Hardware,Doosan Bobcat,$90K - $100K,"West Fargo, ND",Actively Hiring,2023-01-09
107,Software Engineer,Joseph Machine Company Inc.,$93K - $134K,"Dillsburg, PA",Actively Hiring,2023-01-09
108,Cloud Software Engineer,The Fikes Companies,$100K - $126K,"Temple, TX",Actively Hiring,2023-01-09
109,Linux Modern C++ Software Engineer,Geisel Software,$84K - $120K,"Worcester, MA",Actively Hiring,2023-01-09
110,SENIOR SOFTWARE ENGINEER - L&A,Murata Machinery Usa Inc,$100K - $175K,"Charlotte, NC",Actively Hiring,2023-02-06
111,PLC Software Engineer,Aqua-Chem,$81K - $111K,"Knoxville, TN",Actively Hiring,2023-01-09
112,"Software Engineer I, II, III, or Senior",Alaska USA Federal Credit Union,$80K - $138K,"Renton, WA",Actively Hiring,2023-01-11
113,Firmware Engineer,SJE,$79K - $100K,"Ashland, OH",Actively Hiring,2023-01-09
114,Technical Lead/Software Engineer,Resource Data,$76K - $113K,"Boise, ID",Actively Hiring,2023-01-09
115,EO/IR Engineer/Scientist,Resonant Sciences LLC,$72K - $137K,"Beavercreek, OH",Actively Hiring,2023-01-09
116,Software Development Manager,TherapyNotes.com,$145K - $175K,"Horsham, PA",Actively Hiring,2023-01-25
117,Application Software Engineer,Hamamatsu Corporation,$83K - $122K,"Bridgewater, NJ",Actively Hiring,2023-01-09
118,Software Engineer IV,Paychex,$110K - $141K,"Rochester, NY",Actively Hiring,2023-01-09
119,Automation Engineer,Landus Cooperative,$66K - $95K,"Des Moines, IA",Actively Hiring,2023-01-09
120,Software Engineer,CHG Healthcare,$96K - $129K,"Salt Lake City, UT",Actively Hiring,2023-01-23
121,Senior Software Development Engineer,The Morey Corporation,$40.00 - $50.66 Per Hour(Employer est.),"Woodridge, IL",Actively Hiring,2023-01-09
122,Embedded Software Engineer,RDM Industrial Electronics,$60K - $85K,"Nebo, NC",Actively Hiring,2023-01-09
123,Automation Software Developer,"Engineering Specialists, Inc.",$100K - $134K,"Milwaukee, WI",Actively Hiring,2023-01-09
124,Senior Engineer II Software/Mobility Domain,ST Engineering iDirect,$120K,"Herndon, VA",Actively Hiring,2023-01-09
125,Embedded Software Engineer,First Consulting Inc.,$47K - $68K,"Rochester, NY",Actively Hiring,2023-01-09
126,Robotics Engineer AI/ ML/ VR,"BCI Solutions, Inc.",$80K - $100K,"Bremen, IN",Actively Hiring,2023-01-16
127,ISM (Intelligent Site Management) Software Engineer,Westell Technologies,$80K - $120K,"Dublin, OH",Actively Hiring,2023-01-20
128,Software Engineer III,Paychex,$63K - $97K,"Rochester, NY",Actively Hiring,2023-01-09
129,"Cyber Security Software Engineer - Moorestown, NJ",In-Depth Engineering Corporation,$80K - $180K,"Mount Laurel, NJ",Actively Hiring,2023-01-09
130,"Modeling and Simulation Software Engineer - Syracuse, NY",In-Depth Engineering Corporation,$100K,"Syracuse, NY",Actively Hiring,2023-01-09
131,Sr. Embedded Software Engineer,Kitchen Brains,$66K - $95K,"Stratford, CT",Actively Hiring,2023-01-09
132,Mid-Level Software Engineer,"Usio, Inc.",$66K - $97K,"San Antonio, TX",Actively Hiring,2023-01-09
133,Metrology Solutions Software Engineer,Mitutoyo America Corporation,$80K - $120K,"Mason, OH",Actively Hiring,2023-01-26
134,Software Developer - Product,McLeod Software,$91K - $124K,"Birmingham, AL",Actively Hiring,2023-01-09
135,Sr. Software Engineer,"Candid Color Systems, Inc.",$87K - $123K,"Oklahoma City, OK",Actively Hiring,2023-01-31
136,Senior Firmware Engineer,OTTO Engineering,$102K - $140K,"Carpentersville, IL",Actively Hiring,2023-01-09
137,Senior Software Engineer (ACIST),CRL Technologies,$65K - $89K,"Lexington Park, MD",Actively Hiring,2023-01-09
138,Sr. Genesys Engage Engineer,"Placed, LLC",$75K - $100K,"Denver, CO",Actively Hiring,2023-01-09
139,"Software Engineer I, II, III, or Senior",Alaska USA Federal Credit Union,$80K - $138K,"Renton, WA",Actively Hiring,2023-01-11
140,EO/IR Engineer/Scientist,Resonant Sciences LLC,$72K - $137K,"Beavercreek, OH",Actively Hiring,2023-01-09
141,Software Development Manager,TherapyNotes.com,$145K - $175K,"Horsham, PA",Actively Hiring,2023-01-25
142,Application Software Engineer,Hamamatsu Corporation,$83K - $122K,"Bridgewater, NJ",Actively Hiring,2023-01-09
143,Software Engineer IV,Paychex,$110K - $141K,"Rochester, NY",Actively Hiring,2023-01-09
144,Senior Software Development Engineer,The Morey Corporation,$96K - $129K,"Woodridge, IL",Actively Hiring,2023-01-09
145,Embedded Software Engineer,RDM Industrial Electronics,$40.00 - $50.66 Per Hour(Employer est.),"Nebo, NC",Actively Hiring,2023-01-09
146,Embedded Software Engineer,First Consulting Inc.,$120K,"Rochester, NY",Actively Hiring,2023-01-09
147,Robotics Engineer AI/ ML/ VR,"BCI Solutions, Inc.",$47K - $68K,"Bremen, IN",Actively Hiring,2023-01-16
148,ISM (Intelligent Site Management) Software Engineer,Westell Technologies,$80K - $100K,"Dublin, OH",Actively Hiring,2023-01-20
149,Senior Software Engineer,ST Engineering iDirect,$110K - $143K,"Herndon, VA",Actively Hiring,2023-01-09
150,"Cyber Security Software Engineer - Moorestown, NJ",In-Depth Engineering Corporation,$63K - $97K,"Mount Laurel, NJ",Actively Hiring,2023-01-09
151,"Modeling and Simulation Software Engineer - Syracuse, NY",In-Depth Engineering Corporation,$80K - $180K,"Syracuse, NY",Actively Hiring,2023-01-09
152,Sr. Embedded Software Engineer,Kitchen Brains,$100K,"Stratford, CT",Actively Hiring,2023-01-09
153,Software Engineer III,Paychex,$80K - $120K,"Rochester, NY",Actively Hiring,2023-01-09
154,Senior Software Engineer (ACIST),CRL Technologies,$87K - $123K,"Lexington Park, MD",Actively Hiring,2023-01-09
155,Mid-Level Software Engineer,"Usio, Inc.",$66K - $95K,"San Antonio, TX",Actively Hiring,2023-01-09
156,Metrology Solutions Software Engineer,Mitutoyo America Corporation,$66K - $97K,"Mason, OH",Actively Hiring,2023-01-26
157,Software Developer - Product,McLeod Software,$95K - $110K,"Birmingham, AL",Actively Hiring,2023-01-09
158,SENIOR SOFTWARE ENGINEER,Pressco Technology,$80K - $120K,"Solon, OH",Actively Hiring,2023-01-09
159,Sr. Software Engineer,"Candid Color Systems, Inc.",$102K - $140K,"Oklahoma City, OK",Actively Hiring,2023-01-31
160,Sr. Genesys Engage Engineer,"Placed, LLC",$65K - $89K,"Denver, CO",Actively Hiring,2023-01-09
161,Software Engineer,CHG Healthcare,$70K - $90K,"Salt Lake City, UT",Actively Hiring,2023-01-23
162,Embedded Engineer -Embedded Hardware,Doosan Bobcat,$90K - $100K,"West Fargo, ND",Actively Hiring,2023-01-09
163,Software Engineer,Joseph Machine Company Inc.,$93K - $134K,"Dillsburg, PA",Actively Hiring,2023-01-09
164,Cloud Software Engineer,The Fikes Companies,$100K - $126K,"Temple, TX",Actively Hiring,2023-01-09
165,Linux Modern C++ Software Engineer,Geisel Software,$84K - $120K,"Worcester, MA",Actively Hiring,2023-01-09
166,SENIOR SOFTWARE ENGINEER - L&A,Murata Machinery Usa Inc,$100K - $175K,"Charlotte, NC",Actively Hiring,2023-02-06
167,PLC Software Engineer,Aqua-Chem,$81K - $111K,"Knoxville, TN",Actively Hiring,2023-01-09
168,"Software Engineer I, II, III, or Senior",Alaska USA Federal Credit Union,$80K - $138K,"Renton, WA",Actively Hiring,2023-01-11
169,Firmware Engineer,SJE,$79K - $100K,"Ashland, OH",Actively Hiring,2023-01-09
170,Technical Lead/Software Engineer,Resource Data,$76K - $113K,"Boise, ID",Actively Hiring,2023-01-09
171,EO/IR Engineer/Scientist,Resonant Sciences LLC,$72K - $137K,"Beavercreek, OH",Actively Hiring,2023-01-09
172,Software Development Manager,TherapyNotes.com,$145K - $175K,"Horsham, PA",Actively Hiring,2023-01-25
173,Application Software Engineer,Hamamatsu Corporation,$83K - $122K,"Bridgewater, NJ",Actively Hiring,2023-01-09
